timestamp_ms,fenster,popup_erkannt,radius,fisch_gefunden,fisch_x,fisch_y,distanz_zum_ring,im_ring,klick_gesendet,zyklus_pause,latenz_ms,fisch_speed_px_s
157,816x639,0,,0,,,,0,0,0.08,,
163,816x639,0,,0,,,,0,0,0.08,,
254,816x639,0,,0,,,,0,0,0.08,,
348,816x639,0,,0,,,,0,0,0.08,,
431,816x639,0,,0,,,,0,0,0.08,,
503,816x639,0,,0,,,,0,0,0.08,,
569,816x639,0,,0,,,,0,0,0.08,,
675,816x639,0,,0,,,,0,0,0.08,,
739,816x639,0,,0,,,,0,0,0.08,,
816,816x639,0,,0,,,,0,0,0.08,,
899,816x639,0,,0,,,,0,0,0.08,,
974,816x639,0,,0,,,,0,0,0.08,,
1055,816x639,0,,0,,,,0,0,0.08,,
1139,816x639,0,,0,,,,0,0,0.08,,
1217,816x639,0,,0,,,,0,0,0.08,,
1290,816x639,0,,0,,,,0,0,0.08,,
1396,816x639,0,,0,,,,0,0,0.08,,
1469,816x639,0,,0,,,,0,0,0.08,,
1533,816x639,0,,0,,,,0,0,0.08,,
1615,816x639,0,,0,,,,0,0,0.08,,
1700,816x639,0,,0,,,,0,0,0.08,,
1762,816x639,0,,0,,,,0,0,0.08,,
1865,816x639,0,,0,,,,0,0,0.08,,
1925,816x639,0,,0,,,,0,0,0.08,,
2022,816x639,0,,0,,,,0,0,0.08,,
2102,816x639,0,,0,,,,0,0,0.08,,
2211,816x639,0,,0,,,,0,0,0.08,,
2314,816x639,0,,1,810,29,,0,0,0.08,,
2340,816x639,0,,1,810,29,,0,0,0.08,,0.0
2425,816x639,0,,1,810,29,,0,0,0.08,,0.0
2493,816x639,1,65,1,810,29,525.78,0,0,0.08,,0.0
2567,816x639,1,38,0,,,,0,0,0.08,,
2655,816x639,1,38,0,,,,0,0,0.08,,
2834,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
2957,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
3053,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
3133,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
3231,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
3234,816x639,1,38,0,,,,0,0,0.08,,
3428,816x639,1,38,1,810,29,503.50,0,0,0.08,,0.0
3453,816x639,1,38,0,,,,0,0,0.08,,
3591,816x639,0,,1,401,330,,0,0,0.08,,2937.8
3602,816x639,0,,1,401,330,,0,0,0.08,,0.0
3713,816x639,0,,1,810,29,,0,0,0.08,,4549.6
3788,816x639,0,,1,413,321,,0,0,0.08,,6498.6
3855,816x639,0,,1,810,29,,0,0,0.08,,8015.2
3946,816x639,0,,1,810,29,,0,0,0.08,,0.0
4010,816x639,0,,1,810,29,,0,0,0.08,,0.0
4107,816x639,0,,1,810,29,,0,0,0.08,,0.0
23667,816x639,1,64,1,258,167,54.92,1,0,0.08,,
23794,816x639,1,64,1,240,176,49.01,1,0,0.08,,158.1
23904,816x639,1,64,1,214,190,45.71,1,0,0.08,,267.5
23950,816x639,1,64,1,204,196,43.42,1,0,0.08,,253.1
24044,816x639,1,64,1,194,201,48.01,1,0,0.08,,131.1
24148,816x639,1,64,1,194,201,54.13,1,0,0.08,,0.0
24203,816x639,1,64,1,194,201,57.58,1,0,0.08,,0.0
24273,816x639,1,64,1,194,201,57.58,1,1,0.08,52.2,
24278,816x639,1,64,1,194,201,57.58,1,0,0.08,,0.0
24411,816x639,1,64,1,810,29,57.58,1,0,0.08,,4762.7
24476,816x639,1,64,1,193,203,57.58,1,0,0.08,,9670.4
24510,816x639,1,64,1,193,203,57.25,1,0,0.08,,0.0
24706,816x639,1,64,1,221,228,56.92,1,0,0.08,,244.1
24798,816x639,1,64,1,243,252,41.30,1,0,0.08,,241.4
24910,816x639,1,64,1,243,252,24.84,1,0,0.08,,0.0
24966,816x639,1,64,1,243,252,31.40,1,0,0.08,,0.0
25056,816x639,1,64,1,243,252,31.40,1,1,0.08,87.2,
25060,816x639,1,64,1,243,252,31.40,1,0,0.08,,0.0
25155,816x639,1,64,1,243,252,31.40,1,0,0.08,,0.0
25234,816x639,1,64,1,243,252,31.40,1,0,0.08,,0.0
25308,816x639,1,64,1,243,252,31.40,1,0,0.08,,0.0
25407,816x639,1,64,1,810,29,31.40,1,0,0.08,,5119.2
25497,816x639,1,64,1,810,29,31.40,1,0,0.08,,0.0
25566,816x639,1,64,1,810,29,31.40,1,0,0.08,,0.0
25631,816x639,1,64,1,810,29,593.89,0,0,0.08,,0.0
25726,816x639,1,64,0,,,,0,0,0.08,,
25788,816x639,1,64,0,,,,0,0,0.08,,
25850,816x639,1,64,0,,,,0,0,0.08,,
25939,816x639,1,64,0,,,,0,0,0.08,,
26024,816x639,1,64,0,,,,0,0,0.08,,
26123,816x639,1,64,0,,,,0,0,0.08,,
26181,816x639,1,64,0,,,,0,0,0.08,,
26274,816x639,1,64,0,,,,0,0,0.08,,
26368,816x639,0,,0,,,,0,0,0.08,,
26415,816x639,0,,0,,,,0,0,0.08,,
26481,816x639,0,,0,,,,0,0,0.08,,
26548,816x639,0,,0,,,,0,0,0.08,,
26636,816x639,0,,0,,,,0,0,0.08,,
26721,816x639,0,,0,,,,0,0,0.08,,
26800,816x639,0,,0,,,,0,0,0.08,,
26879,816x639,0,,0,,,,0,0,0.08,,
