timestamp_ms,fenster,popup_erkannt,radius,fisch_gefunden,fisch_x,fisch_y,distanz_zum_ring,im_ring,klick_gesendet,zyklus_pause,latenz_ms,fisch_speed_px_s
68,816x639,1,36,0,,,,0,0,0.08,,
122,816x639,1,36,0,,,,0,0,0.08,,
201,816x639,1,36,0,,,,0,0,0.08,,
271,816x639,1,36,0,,,,0,0,0.08,,
366,816x639,1,36,0,,,,0,0,0.08,,
458,816x639,1,36,0,,,,0,0,0.08,,
510,816x639,1,36,0,,,,0,0,0.08,,
591,816x639,1,36,0,,,,0,0,0.08,,
764,816x639,1,36,0,,,,0,0,0.08,,
843,816x639,1,36,1,415,373,66.94,0,0,0.08,,
940,816x639,1,36,1,417,373,67.19,0,0,0.08,,20.6
967,816x639,1,36,1,417,373,66.10,0,0,0.08,,0.0
1082,816x639,1,36,0,,,,0,0,0.08,,
1127,816x639,1,36,0,,,,0,0,0.08,,
1222,816x639,1,36,0,,,,0,0,0.08,,
1273,816x639,1,36,0,,,,0,0,0.08,,
1342,816x639,1,36,0,,,,0,0,0.08,,
1422,816x639,1,36,0,,,,0,0,0.08,,
1503,816x639,1,36,0,,,,0,0,0.08,,
1587,816x639,1,36,0,,,,0,0,0.08,,
1687,816x639,1,36,0,,,,0,0,0.08,,
1757,816x639,1,36,0,,,,0,0,0.08,,
1834,816x639,1,36,0,,,,0,0,0.08,,
1931,816x639,1,36,0,,,,0,0,0.08,,
2003,816x639,1,36,0,,,,0,0,0.08,,
2182,816x639,1,36,1,809,27,67.45,0,0,0.08,,432.8
2262,816x639,1,36,1,809,27,67.45,0,0,0.08,,0.0
2351,816x639,1,36,1,809,27,67.45,0,0,0.08,,0.0
2451,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
2461,816x639,1,36,0,,,,0,0,0.08,,
2557,816x639,1,36,0,,,,0,0,0.08,,
2618,816x639,1,36,0,,,,0,0,0.08,,
2786,816x639,1,36,0,,,,0,0,0.08,,
2786,816x639,1,36,0,,,,0,0,0.08,,
2884,816x639,1,36,0,,,,0,0,0.08,,
2960,816x639,1,36,0,,,,0,0,0.08,,
3100,816x639,1,36,0,,,,0,0,0.08,,
3108,816x639,1,36,0,,,,0,0,0.08,,
3221,816x639,1,36,0,,,,0,0,0.08,,
3300,816x639,1,36,0,,,,0,0,0.08,,
3393,816x639,1,36,0,,,,0,0,0.08,,
3541,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
3649,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
3757,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
3854,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
3858,816x639,1,36,0,,,,0,0,0.08,,
3966,816x639,1,36,0,,,,0,0,0.08,,
4054,816x639,1,36,0,,,,0,0,0.08,,
4133,816x639,1,36,0,,,,0,0,0.08,,
4186,816x639,1,36,0,,,,0,0,0.08,,
4281,816x639,1,36,0,,,,0,0,0.08,,
4354,816x639,1,36,0,,,,0,0,0.08,,
4442,816x639,1,36,0,,,,0,0,0.08,,
4523,816x639,1,36,0,,,,0,0,0.08,,
4621,816x639,1,36,0,,,,0,0,0.08,,
4661,816x639,1,36,0,,,,0,0,0.08,,
4759,816x639,1,36,0,,,,0,0,0.08,,
4899,816x639,1,36,1,415,373,497.05,0,0,0.08,,499.6
4990,816x639,1,36,1,809,27,497.05,0,0,0.08,,7281.0
5089,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
5230,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
5237,816x639,1,36,0,,,,0,0,0.08,,
5338,816x639,1,36,0,,,,0,0,0.08,,
5420,816x639,1,36,0,,,,0,0,0.08,,
5555,816x639,1,36,1,809,27,496.79,0,0,0.08,,0.0
5565,816x639,1,36,0,,,,0,0,0.08,,
5641,816x639,1,36,0,,,,0,0,0.08,,
5725,816x639,1,36,0,,,,0,0,0.08,,
5804,816x639,1,36,0,,,,0,0,0.08,,
5892,816x639,1,36,0,,,,0,0,0.08,,
5959,816x639,1,36,0,,,,0,0,0.08,,
6071,816x639,1,36,0,,,,0,0,0.08,,
6277,816x639,1,36,1,809,27,496.23,0,0,0.08,,0.0
6413,816x639,1,36,1,809,27,496.23,0,0,0.08,,0.0
6539,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
6557,816x639,1,36,0,,,,0,0,0.08,,
6643,816x639,1,36,0,,,,0,0,0.08,,
6718,816x639,1,36,0,,,,0,0,0.08,,
6816,816x639,1,36,0,,,,0,0,0.08,,
6900,816x639,1,36,0,,,,0,0,0.08,,
6958,816x639,1,36,0,,,,0,0,0.08,,
7054,816x639,1,36,0,,,,0,0,0.08,,
7103,816x639,1,36,0,,,,0,0,0.08,,
7208,816x639,1,36,0,,,,0,0,0.08,,
7289,816x639,1,36,0,,,,0,0,0.08,,
7347,816x639,1,36,0,,,,0,0,0.08,,
7423,816x639,1,36,0,,,,0,0,0.08,,
7606,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
7710,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
7790,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
7799,816x639,1,36,0,,,,0,0,0.08,,
8004,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
8030,816x639,1,36,0,,,,0,0,0.08,,
8127,816x639,1,36,0,,,,0,0,0.08,,
8166,816x639,1,36,0,,,,0,0,0.08,,
8282,816x639,1,36,0,,,,0,0,0.08,,
8346,816x639,1,36,0,,,,0,0,0.08,,
8427,816x639,1,36,0,,,,0,0,0.08,,
8505,816x639,1,36,0,,,,0,0,0.08,,
8574,816x639,1,36,0,,,,0,0,0.08,,
8654,816x639,1,36,0,,,,0,0,0.08,,
8751,816x639,1,36,0,,,,0,0,0.08,,
8810,816x639,1,36,0,,,,0,0,0.08,,
8972,816x639,1,36,1,413,374,497.05,0,0,0.08,,541.2
9057,816x639,1,36,1,809,27,497.05,0,0,0.08,,5663.8
9140,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
9169,816x639,1,36,1,809,27,492.94,0,0,0.08,,0.0
9240,816x639,1,36,0,,,,0,0,0.08,,
9303,816x639,1,36,0,,,,0,0,0.08,,
9437,816x639,1,36,0,,,,0,0,0.08,,
9477,816x639,1,36,0,,,,0,0,0.08,,
9560,816x639,1,36,0,,,,0,0,0.08,,
9675,816x639,1,36,0,,,,0,0,0.08,,
9716,816x639,1,36,0,,,,0,0,0.08,,
9793,816x639,1,36,0,,,,0,0,0.08,,
9861,816x639,1,36,0,,,,0,0,0.08,,
9954,816x639,1,36,0,,,,0,0,0.08,,
10038,816x639,1,36,0,,,,0,0,0.08,,
10127,816x639,1,36,0,,,,0,0,0.08,,
10204,816x639,1,36,0,,,,0,0,0.08,,
10329,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
10430,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
10500,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
10595,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
10709,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
10742,816x639,1,36,0,,,,0,0,0.08,,
10825,816x639,1,36,0,,,,0,0,0.08,,
10873,816x639,1,36,0,,,,0,0,0.08,,
10951,816x639,1,36,0,,,,0,0,0.08,,
11049,816x639,1,36,0,,,,0,0,0.08,,
11146,816x639,1,36,0,,,,0,0,0.08,,
11205,816x639,1,36,0,,,,0,0,0.08,,
11286,816x639,1,36,0,,,,0,0,0.08,,
11365,816x639,1,36,0,,,,0,0,0.08,,
11534,816x639,1,36,0,,,,0,0,0.08,,
11553,816x639,1,36,0,,,,0,0,0.08,,
11710,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
11793,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
11926,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
12013,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
12043,816x639,1,36,0,,,,0,0,0.08,,
12100,816x639,1,36,0,,,,0,0,0.08,,
12180,816x639,1,36,0,,,,0,0,0.08,,
12254,816x639,1,36,0,,,,0,0,0.08,,
12373,816x639,1,36,0,,,,0,0,0.08,,
12469,816x639,1,36,0,,,,0,0,0.08,,
12530,816x639,1,36,0,,,,0,0,0.08,,
12615,816x639,1,36,0,,,,0,0,0.08,,
12658,816x639,1,36,0,,,,0,0,0.08,,
12740,816x639,1,36,0,,,,0,0,0.08,,
12832,816x639,1,36,0,,,,0,0,0.08,,
12895,816x639,1,36,0,,,,0,0,0.08,,
13044,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
13139,816x639,1,36,1,414,373,497.05,0,0,0.08,,5577.0
13230,816x639,1,36,1,809,27,497.05,0,0,0.08,,5843.1
13295,816x639,1,36,0,,,,0,0,0.08,,
13316,816x639,1,36,0,,,,0,0,0.08,,
13478,816x639,1,36,0,,,,0,0,0.08,,
13497,816x639,1,36,0,,,,0,0,0.08,,
13582,816x639,1,36,0,,,,0,0,0.08,,
13648,816x639,1,36,0,,,,0,0,0.08,,
13722,816x639,1,36,0,,,,0,0,0.08,,
13810,816x639,1,36,0,,,,0,0,0.08,,
13910,816x639,1,36,0,,,,0,0,0.08,,
13960,816x639,1,36,0,,,,0,0,0.08,,
14074,816x639,1,36,0,,,,0,0,0.08,,
14156,816x639,1,36,0,,,,0,0,0.08,,
14214,816x639,1,36,0,,,,0,0,0.08,,
14299,816x639,1,36,0,,,,0,0,0.08,,
14474,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
14553,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
14655,816x639,1,36,1,809,27,492.94,0,0,0.08,,0.0
14656,816x639,1,36,0,,,,0,0,0.08,,
14754,816x639,1,36,0,,,,0,0,0.08,,
14839,816x639,1,36,0,,,,0,0,0.08,,
14929,816x639,1,36,0,,,,0,0,0.08,,
15000,816x639,1,36,0,,,,0,0,0.08,,
15062,816x639,1,36,0,,,,0,0,0.08,,
15182,816x639,1,36,0,,,,0,0,0.08,,
15251,816x639,1,36,0,,,,0,0,0.08,,
15320,816x639,1,36,0,,,,0,0,0.08,,
15396,816x639,1,36,0,,,,0,0,0.08,,
15460,816x639,1,36,0,,,,0,0,0.08,,
15538,816x639,1,36,0,,,,0,0,0.08,,
15621,816x639,1,36,0,,,,0,0,0.08,,
15719,816x639,1,36,0,,,,0,0,0.08,,
15796,816x639,1,36,0,,,,0,0,0.08,,
15930,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
16039,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
16141,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
16143,816x639,1,36,0,,,,0,0,0.08,,
16228,816x639,1,36,0,,,,0,0,0.08,,
16331,816x639,1,36,0,,,,0,0,0.08,,
16412,816x639,1,36,0,,,,0,0,0.08,,
16482,816x639,1,36,0,,,,0,0,0.08,,
16578,816x639,1,36,0,,,,0,0,0.08,,
16631,816x639,1,36,0,,,,0,0,0.08,,
16730,816x639,1,36,0,,,,0,0,0.08,,
16810,816x639,1,36,0,,,,0,0,0.08,,
16866,816x639,1,36,0,,,,0,0,0.08,,
16971,816x639,1,36,0,,,,0,0,0.08,,
17035,816x639,1,36,0,,,,0,0,0.08,,
17170,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
17278,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
17429,816x639,1,36,1,809,27,492.94,0,0,0.08,,0.0
17478,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
17517,816x639,1,36,0,,,,0,0,0.08,,
17598,816x639,1,36,0,,,,0,0,0.08,,
17694,816x639,1,36,0,,,,0,0,0.08,,
17754,816x639,1,36,0,,,,0,0,0.08,,
17870,816x639,1,36,0,,,,0,0,0.08,,
17912,816x639,1,36,0,,,,0,0,0.08,,
18014,816x639,1,36,0,,,,0,0,0.08,,
18095,816x639,1,36,0,,,,0,0,0.08,,
18169,816x639,1,36,0,,,,0,0,0.08,,
18264,816x639,1,36,0,,,,0,0,0.08,,
18358,816x639,1,36,0,,,,0,0,0.08,,
18406,816x639,1,36,0,,,,0,0,0.08,,
18594,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
18694,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
18802,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
18896,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
18914,816x639,1,36,0,,,,0,0,0.08,,
19004,816x639,1,36,0,,,,0,0,0.08,,
19064,816x639,1,36,0,,,,0,0,0.08,,
19140,816x639,1,36,0,,,,0,0,0.08,,
19249,816x639,1,36,0,,,,0,0,0.08,,
19314,816x639,1,36,0,,,,0,0,0.08,,
19402,816x639,1,36,0,,,,0,0,0.08,,
19470,816x639,1,36,0,,,,0,0,0.08,,
19551,816x639,1,36,0,,,,0,0,0.08,,
19644,816x639,1,36,0,,,,0,0,0.08,,
19709,816x639,1,36,0,,,,0,0,0.08,,
19792,816x639,1,36,0,,,,0,0,0.08,,
19935,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
20061,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
20119,816x639,1,36,1,809,27,497.62,0,0,0.08,,0.0
20244,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
20260,816x639,1,36,0,,,,0,0,0.08,,
20352,816x639,1,36,0,,,,0,0,0.08,,
20431,816x639,1,36,0,,,,0,0,0.08,,
20506,816x639,1,36,0,,,,0,0,0.08,,
20569,816x639,1,36,0,,,,0,0,0.08,,
20672,816x639,1,36,0,,,,0,0,0.08,,
20745,816x639,1,36,0,,,,0,0,0.08,,
20809,816x639,1,36,0,,,,0,0,0.08,,
20916,816x639,1,36,0,,,,0,0,0.08,,
20994,816x639,1,36,0,,,,0,0,0.08,,
21135,816x639,1,36,0,,,,0,0,0.08,,
21161,816x639,1,36,0,,,,0,0,0.08,,
21335,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
21409,816x639,1,36,1,415,373,497.05,0,0,0.08,,5871.1
21513,816x639,1,36,1,809,27,492.94,0,0,0.08,,5046.7
21515,816x639,1,36,1,417,373,492.94,0,0,0.08,,96396.6
21618,816x639,1,36,0,,,,0,0,0.08,,
21693,816x639,1,36,0,,,,0,0,0.08,,
21773,816x639,1,36,0,,,,0,0,0.08,,
21841,816x639,1,36,0,,,,0,0,0.08,,
21952,816x639,1,36,0,,,,0,0,0.08,,
22012,816x639,1,36,0,,,,0,0,0.08,,
22097,816x639,1,36,0,,,,0,0,0.08,,
22203,816x639,1,36,0,,,,0,0,0.08,,
22243,816x639,1,36,0,,,,0,0,0.08,,
22325,816x639,1,36,0,,,,0,0,0.08,,
22408,816x639,1,36,0,,,,0,0,0.08,,
22498,816x639,1,36,0,,,,0,0,0.08,,
22567,816x639,1,36,0,,,,0,0,0.08,,
22727,816x639,1,36,1,809,27,497.05,0,0,0.08,,435.1
22816,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
22948,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
22949,816x639,1,36,0,,,,0,0,0.08,,
23040,816x639,1,36,0,,,,0,0,0.08,,
23116,816x639,1,36,0,,,,0,0,0.08,,
23192,816x639,1,36,0,,,,0,0,0.08,,
23358,816x639,1,36,0,,,,0,0,0.08,,
23371,816x639,1,36,0,,,,0,0,0.08,,
23449,816x639,1,36,0,,,,0,0,0.08,,
23595,816x639,1,36,0,,,,0,0,0.08,,
23611,816x639,1,36,0,,,,0,0,0.08,,
23715,816x639,1,36,0,,,,0,0,0.08,,
23772,816x639,1,36,0,,,,0,0,0.08,,
23864,816x639,1,36,0,,,,0,0,0.08,,
23926,816x639,1,36,0,,,,0,0,0.08,,
24078,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
24149,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
24310,816x639,1,36,1,809,27,497.05,0,0,0.08,,0.0
24402,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
24415,816x639,1,36,0,,,,0,0,0.08,,
24499,816x639,1,36,0,,,,0,0,0.08,,
24606,816x639,1,36,0,,,,0,0,0.08,,
24649,816x639,1,36,0,,,,0,0,0.08,,
24737,816x639,1,36,0,,,,0,0,0.08,,
24808,816x639,1,36,0,,,,0,0,0.08,,
24903,816x639,1,36,0,,,,0,0,0.08,,
24986,816x639,1,36,0,,,,0,0,0.08,,
25048,816x639,1,36,0,,,,0,0,0.08,,
25144,816x639,1,36,0,,,,0,0,0.08,,
25208,816x639,1,36,0,,,,0,0,0.08,,
25329,816x639,1,36,0,,,,0,0,0.08,,
25481,816x639,1,36,1,809,27,496.23,0,0,0.08,,0.0
25573,816x639,1,36,1,809,27,496.23,0,0,0.08,,0.0
25773,816x639,1,36,1,417,373,491.29,0,0,0.08,,2766.3
25776,816x639,1,36,1,418,373,491.29,0,0,0.08,,68.7
25876,816x639,1,36,1,418,373,492.94,0,0,0.08,,0.0
25942,816x639,1,36,1,416,373,66.49,0,0,0.08,,29.9
26021,816x639,1,36,0,,,,0,0,0.08,,
26126,816x639,1,36,0,,,,0,0,0.08,,
26216,816x639,1,36,0,,,,0,0,0.08,,
26283,816x639,1,36,0,,,,0,0,0.08,,
26348,816x639,1,36,0,,,,0,0,0.08,,
26428,816x639,1,36,0,,,,0,0,0.08,,
26513,816x639,1,36,0,,,,0,0,0.08,,
26604,816x639,1,36,0,,,,0,0,0.08,,
26671,816x639,1,36,0,,,,0,0,0.08,,
26817,816x639,1,36,1,809,27,67.19,0,0,0.08,,600.6
26906,816x639,1,36,1,809,27,67.19,0,0,0.08,,0.0
26990,816x639,1,36,1,809,27,67.19,0,0,0.08,,0.0
27098,816x639,1,36,1,809,27,491.29,0,0,0.08,,0.0
